,Diario,Titular,Pos,Neg,Neu,Extensión,Link,Fecha,Autor,Recogido,Obj_link
264,El Confidencial,El tirón de Iglesias se estanca y multiplicará los actos con Yolanda Díaz para movilizar,0.0108065735548734,0.9409881234169006,0.0482052899897098,15,https://www.elconfidencial.com/espana/madrid/2021-04-20/iglesias-apuesta-la-campana-del-4-m-al-debate-y-a-multiplicar-los-actos-con-yolanda-diaz_3040871/,2021-04-20,['I. Gil'],21-04-21,
262,El País,Cristina Pedroche y su no al PP: “¿Qué esperan que vote? Soy de Vallecas”,0.0043488219380378,0.9280810356140136,0.0675701051950454,14,https://elpais.com/espana/elecciones-madrid/2021-04-20/cristina-pedroche-y-su-no-al-pp-que-esperan-que-vote-soy-de-vallecas.html,2021-04-20,"['Manuel Viejo', 'Alejandro Martínez Vélez', 'Europa Press']",21-04-21,
261,El País,"Ni Aznar, ni Rajoy, ni Aguirre ni los barones del PP: solo Ayuso",0.0101510277017951,0.7309733629226685,0.2588755786418915,13,https://elpais.com/espana/2021-04-20/ni-aznar-rajoy-aguirre-o-barones-del-pp-solo-ayuso.html,2021-04-20,"['Javier Casqueiro', 'Foto', 'Pp De Madrid', 'Efe', 'Vídeo', 'Europa Press']",21-04-21,
260,El Español,"El consejo de Arrimadas al PP: ""Necesitamos más patriotas de país y menos de partido""",0.0061576995067298,0.9205406308174132,0.0733016431331634,15,https://www.elespanol.com/espana/politica/20210420/consejo-arrimadas-pp-necesitamos-patriotas-pais-partido/575192756_0.html,2021-04-20,[],21-04-21,
272,ABC,Elecciones Madrid: ¿será festivo el 4 de mayo?,0.0129167009145021,0.0555696226656436,0.9315137267112732,8,https://www.abc.es/espana/madrid/abci-elecciones-madrid-sera-festivo-4-mayo-nsv-202104210102_noticia.html,2021-04-20,[],21-04-21,
266,El País,Díaz Ayuso presume de que su gestión ha salvado 300.000 empleos para atraer a votantes de Cs y Vox,0.7245882153511047,0.0514854975044727,0.2239262312650679,19,https://elpais.com/espana/elecciones-madrid/2021-04-20/diaz-ayuso-presume-de-que-su-gestion-ha-salvado-300000-empleos-para-atraer-a-votantes-de-cs-y-vox.html,2021-04-20,"['Juan José Mateo', 'Alejandro Martínez Vélez', 'Europa Press']",21-04-21,
273,El País,Iglesias presenta un programa “para reconstruir lo público” tras 25 años de Gobierno del PP en Madrid,0.0823369026184082,0.3077156543731689,0.6099474430084229,17,https://elpais.com/espana/elecciones-madrid/2021-04-20/iglesias-presenta-un-programa-para-reconstruir-lo-publico-tras-25-anos-de-gobierno-del-pp.html,2021-04-20,"['Paula Chouza', 'Rodrigo Jiménez']",21-04-21,
282,El País,Evitar un error que cambie la campaña: así diseña el PP de Díaz Ayuso el sprint final del 4-M,0.0385148413479328,0.0855588465929031,0.8759262561798096,19,https://elpais.com/espana/elecciones-madrid/2021-04-20/evitar-un-error-que-cambie-la-campana-asi-disena-el-pp-de-diaz-ayuso-el-sprint-final-del-4-m.html,2021-04-20,"['Juan José Mateo', 'Alejandro Martínez Vélez', 'Europa Press']",21-04-21,
275,El País,La derecha tiene un plan,0.0627323687076568,0.0107115935534238,0.9265559911727904,5,https://elpais.com/espana/elecciones-madrid/2021-04-20/la-derecha-tiene-un-plan.html,2021-04-20,"['Víctor Lapuente', 'Eva Ercolanese']",21-04-21,
276,El Mundo,Lagarde no es la diosa Juno,0.0275471936911344,0.4069084823131561,0.5655443072319031,6,https://www.elmundo.es/opinion/columnistas/2021/04/20/607da8f7fc6c83d75e8b45a7.html,2021-04-20,"['Ulises Culebro', 'Raúl Del Pozo']",21-04-21,
277,eldiario.es,Ayuso comienza su campaña en Facebook con una batería de anuncios opacos que la red ha desactivado,0.0100918747484683,0.6415275931358337,0.3483805358409881,17,https://www.eldiario.es/tecnologia/empieza-jungla-ayuso-cuela-anuncios-ilegales-facebook-arranque-campana_1_7839106.html,2021-04-20,"['Carlos Del Castillo', 'Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Fátima Caballero', 'Javier Biosca Azcoiti', 'Neus Tomàs', 'Rosa María Artal']",21-04-21,
278,El País,"24 horas con el candidato (1): Edmundo Bal, el planificador implacable",0.6636474132537842,0.0602438300848007,0.2761087715625763,11,https://elpais.com/espana/elecciones-madrid/2021-04-20/24-horas-con-el-candidato-1-edmundo-bal-el-planificador-implacable.html,2021-04-20,"['Manuel Viejo', 'Antonio Nieto', 'Vídeo', 'Carlos Martínez', 'Foto', 'Andrea Comas']",21-04-21,
279,El País,Andrés Trapiello: “No existe la madrileñofobia. Es mentira”,0.0082579813897609,0.7012205123901367,0.2905215322971344,8,https://elpais.com/espana/elecciones-madrid/2021-04-20/andres-trapiello-no-existe-la-madrilenofobia-es-mentira.html,2021-04-20,"['Jesús Ruiz Mantilla', 'Jaime Villanueva']",21-04-21,
280,La Razón,El jurado declara culpable al expolicía Derek Chauvin por la muerte de George Floyd,0.0190051402896642,0.8248850107192993,0.1561099290847778,14,https://www.larazon.es/internacional/20210420/qyzptarfgfhbzocyqqcc4de47u.html,2021-04-20,"['Julio Valdeón', 'Nueva York', 'Última Actualización.']",21-04-21,
281,ABC,El filósofo en el asfalto,0.0167834032326936,0.4407947659492492,0.542421817779541,5,https://www.abc.es/espana/abci-filosofo-asfalto-202104200335_noticia.html,2021-04-20,[],21-04-21,
283,eldiario.es,"Ayuso, ante el examen más difícil de su campaña en un debate que trató de evitar",0.0014641731977462,0.995009422302246,0.0035263749305158,16,https://www.eldiario.es/politica/ayuso-examen-dificil-campana-debate-trato-evitar_1_7841397.html,2021-04-20,"['Eldiario.Es Política', 'Efe Zipi', 'Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Fátima Caballero', 'Javier Biosca Azcoiti', 'Neus Tomàs', 'Rosa María Artal']",21-04-21,
284,Público,Elecciones en Madrid El Gobierno inicia acciones legales por el cartel de Vox en Sol señalando a los menores extranjeros no acompañados,0.0033971222583204,0.9758650064468384,0.0207378026098012,22,https://www.publico.es//politica/elecciones-madrid-gobierno-inicia-acciones-legales-cartel-vox-sol-senalando-menores-extranjeros-no-acompanados.html,2021-04-20,[],03-05-21,<diario.Link object at 0x16a4a7fd0>
285,El País,De tableros y escenarios,0.0318903475999832,0.0444327853620052,0.92367684841156,4,https://elpais.com/espana/elecciones-madrid/2021-04-20/de-tableros-y-escenarios.html,2021-04-20,"['Enrique Gil Calvo', 'Ricardo Rubio', 'Europa Press']",21-04-21,
286,El País,Podcast ‘La batalla por Madrid’,0.1769615709781646,0.0601682588458061,0.7628702521324158,5,https://elpais.com/espana/elecciones-madrid/2021-04-20/podcast-la-batalla-por-madrid-ep-2-el-espiritu-del-15m.html,2021-04-20,"['Montserrat Domínguez', 'José Juan Morales', 'Eduardo Ortiz']",21-04-21,
287,eldiario.es,Diez datos falsos que repite Isabel Díaz Ayuso en la campaña electoral,0.0020540067926049,0.991441011428833,0.0065049747936427,12,https://www.eldiario.es/madrid/datos-falsos-repite-isabel-diaz-ayuso-campana-electoral_1_7841774.html,2021-04-20,"['Fátima Caballero', 'Alejandro Martínez Vélez', 'Europa Press', 'Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Javier Biosca Azcoiti', 'Neus Tomàs', 'Rosa María Artal']",21-04-21,
288,El Mundo,La Fiscalía investiga por un posible delito de odio el cartel electoral de Vox contra los menores inmigrantes,0.0114752696827054,0.9228556156158448,0.0656692087650299,18,https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/20/607ee46121efa06b558b458c.html,2021-04-20,"['Vicente Coll', 'Manuel Marraco']",21-04-21,
259,Público,El cartel xenófobo de Vox y los impuestos calientan la campaña en vísperas del gran debate a seis,0.0048000202514231,0.9819666147232056,0.0132333384826779,18,https://www.publico.es//politica/cartel-xenofobo-vox-impuestos-calientan-campana-visperas-gran-debate-seis.html,2021-04-20,[],03-05-21,<diario.Link object at 0x14e7abef0>
274,eldiario.es,"Historias del abono transporte de Madrid: ""Rechazo trabajos de 300 euros porque no me compensa pagarlo""",0.0011620064033195,0.993154525756836,0.0056835240684449,16,https://www.eldiario.es/economia/historias-deseos-abono-transporte-madrid-deje-joven-subira-60-euros_1_7828291.html,2021-04-20,"['Analía Plaza', 'Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Fátima Caballero', 'Javier Biosca Azcoiti', 'Neus Tomàs', 'Rosa María Artal']",21-04-21,
258,El País,"Mónica García, portavoz y doctora",0.084442526102066,0.0646210685372352,0.8509364128112793,5,https://elpais.com/espana/elecciones-madrid/2021-04-20/monica-garcia-portavoz-y-doctora.html,2021-04-20,['Juan José Millás'],21-04-21,
245,El Español,Los menas y la abuela: la campaña de derecha dura de Vox para Madrid que ya investiga la Fiscalía,0.0050561930984258,0.9657588005065918,0.0291850063949823,19,https://www.elespanol.com/espana/madrid/20210420/abuela-campana-derecha-vox-madrid-denunciada-fiscal/575193442_0.html,2021-04-20,[],21-04-21,
