,titular,diario,fecha,todo
340,Isabel Díaz Ayuso carga contra Iglesias por contratar “ matones ” para agredir a policías,La Razón,2021-05-01,"Isabel Díaz Ayuso carga contra Iglesias por contratar “ matones ” para agredir a policías (La Razón, 2021-05-01) | "
341,Los libros de la semana : del desencuentro entre Hitler y Mussolini a la fina comedia de Eduardo Mendoza,La Razón,2021-05-01,"Los libros de la semana : del desencuentro entre Hitler y Mussolini a la fina comedia de Eduardo Mendoza (La Razón, 2021-05-01) | "
342,"Monedero : "" Frente a sus balas , nuestros votos . Si ganamos es porque Iglesias bajó a Madrid "" ",El Español,2021-04-30,"Monedero : "" Frente a sus balas , nuestros votos . Si ganamos es porque Iglesias bajó a Madrid ""  (El Español, 2021-04-30) | "
343,"El autor de las cartas con balas a Iglesias , Marlaska y Gámez usó una plantilla para ocultar su caligrafía",El Español,2021-04-29,"El autor de las cartas con balas a Iglesias , Marlaska y Gámez usó una plantilla para ocultar su caligrafía (El Español, 2021-04-29) | "
344,"La ofensiva de Iglesias contra Vox , de justificar la violencia al escolta detenido",ABC,2021-05-01,"La ofensiva de Iglesias contra Vox , de justificar la violencia al escolta detenido (ABC, 2021-05-01) | "
345,Casado exige a Sánchez una condena « contra los matones de Iglesias que patearon a la Policía » ,ABC,2021-05-01,"Casado exige a Sánchez una condena « contra los matones de Iglesias que patearon a la Policía »  (ABC, 2021-05-01) | "
346,Iglesias : “ En España se ha normalizado el fascismo ” ,El País,2021-05-02,"Iglesias : “ En España se ha normalizado el fascismo ”  (El País, 2021-05-02) | "
347,Interior ocultó en plena campaña que dos ' escoltas ' de Podemos lideraron los ataques a Vox en Vallecas y fueron detenidos,El Mundo,2021-05-01,"Interior ocultó en plena campaña que dos ' escoltas ' de Podemos lideraron los ataques a Vox en Vallecas y fueron detenidos (El Mundo, 2021-05-01) | "
348,Ese fascismo del que usted me habla,eldiario.es,2021-05-01,"Ese fascismo del que usted me habla (eldiario.es, 2021-05-01) | "
349,Casado exige a Sánchez que asuma responsabilidades por la detención de los « matones » de Iglesias,ABC,2021-05-02,"Casado exige a Sánchez que asuma responsabilidades por la detención de los « matones » de Iglesias (ABC, 2021-05-02) | "
350,"El cierre de la campaña electoral del 4 - M , en directo | Hana Jalloul , número dos del PSOE : “ Madrid merece un Gobierno sin el veneno de la ultraderecha y el fascismo ” ",El País,2021-05-02,"El cierre de la campaña electoral del 4 - M , en directo | Hana Jalloul , número dos del PSOE : “ Madrid merece un Gobierno sin el veneno de la ultraderecha y el fascismo ”  (El País, 2021-05-02) | "
351,"Así fue el tapón a las residencias de mayores de Madrid , hospital por hospital : el 73 % de muertos no fueron trasladados a un centro médico",El País,2021-05-01,"Así fue el tapón a las residencias de mayores de Madrid , hospital por hospital : el 73 % de muertos no fueron trasladados a un centro médico (El País, 2021-05-01) | "
352,Podcast ‘ La batalla por Madrid ’ | Ep . 11 : El último chotis,El País,2021-05-03,"Podcast ‘ La batalla por Madrid ’ | Ep . 11 : El último chotis (El País, 2021-05-03) | "
