,titular,diario,fecha,todo
256,Amenaza a Reyes Maroto : recibe un sobre con una navaja ensangrentada en la sede del Ministerio,ABC,2021-04-26,"Amenaza a Reyes Maroto : recibe un sobre con una navaja ensangrentada en la sede del Ministerio (ABC, 2021-04-26) | "
257,"Podcast ‘ La batalla por Madrid ’ | Ep . 6 : Tú amenazas , yo provoco , ellos blanquean",El País,2021-04-26,"Podcast ‘ La batalla por Madrid ’ | Ep . 6 : Tú amenazas , yo provoco , ellos blanquean (El País, 2021-04-26) | "
258,La ministra Reyes Maroto recibe un sobre con una navaja ensangrentada,eldiario.es,2021-04-26,"La ministra Reyes Maroto recibe un sobre con una navaja ensangrentada (eldiario.es, 2021-04-26) | "
259,Elecciones Madrid Ayuso califica de « deleznables » las acusaciones de « organización criminal » de Marlaska contra el PP,ABC,2021-04-26,"Elecciones Madrid Ayuso califica de « deleznables » las acusaciones de « organización criminal » de Marlaska contra el PP (ABC, 2021-04-26) | "
260,El PP sale en tromba para exigir la dimisión de Marlaska tras llamar a ese partido « organización criminal »,ABC,2021-04-26,"El PP sale en tromba para exigir la dimisión de Marlaska tras llamar a ese partido « organización criminal »  (ABC, 2021-04-26) | "
261,"Maroto : "" Los demócratas estamos amenazados de muerte si no paramos a Vox en las urnas "" ",El Español,2021-04-26,"Maroto : "" Los demócratas estamos amenazados de muerte si no paramos a Vox en las urnas ""  (El Español, 2021-04-26) | "
262,La ministra Reyes Maroto recibe una carta con una navaja “ aparentemente ensangrentada ”,La Razón,2021-04-26,"La ministra Reyes Maroto recibe una carta con una navaja “ aparentemente ensangrentada ”  (La Razón, 2021-04-26) | "
263,La ministra Reyes Maroto recibe un sobre con una navaja ensangrentada,El Español,2021-04-26,"La ministra Reyes Maroto recibe un sobre con una navaja ensangrentada (El Español, 2021-04-26) | "
264,"Interior investiga el envío de una navaja "" aparentemente ensangrentada "" a Maroto",El Confidencial,2021-04-26,"Interior investiga el envío de una navaja "" aparentemente ensangrentada "" a Maroto (El Confidencial, 2021-04-26) | "
265,Contundente respuesta de Figo a Pablo Iglesias después de su ataque a Ana Rosa Quintana,La Razón,2021-04-26,"Contundente respuesta de Figo a Pablo Iglesias después de su ataque a Ana Rosa Quintana (La Razón, 2021-04-26) | "
266,"Pablo Iglesias se jacta de haber arrastrado a Pedro Sánchez a sus posiciones "" antifascistas "" ",El Español,2021-04-26,"Pablo Iglesias se jacta de haber arrastrado a Pedro Sánchez a sus posiciones "" antifascistas ""  (El Español, 2021-04-26) | "
267,Casado rechaza todas las amenazas y agresiones en la campaña y llama a salir de la radicalidad,ABC,2021-04-26,"Casado rechaza todas las amenazas y agresiones en la campaña y llama a salir de la radicalidad (ABC, 2021-04-26) | "
268,Fascismo en campaña,eldiario.es,2021-04-26,"Fascismo en campaña (eldiario.es, 2021-04-26) | "
269,Las amenazas de muerte a Iglesias y miembros del Gobierno acaparan todos los focos de la campaña,eldiario.es,2021-04-26,"Las amenazas de muerte a Iglesias y miembros del Gobierno acaparan todos los focos de la campaña (eldiario.es, 2021-04-26) | "
270,Vox cifra en 200 los ataques sufridos en campaña,La Razón,2021-04-27,"Vox cifra en 200 los ataques sufridos en campaña (La Razón, 2021-04-27) | "
271,"Fascismo no , comunismo tampoco",La Razón,2021-04-27,"Fascismo no , comunismo tampoco (La Razón, 2021-04-27) | "
272,Ni siquiera la agresividad de Vox sirve para dar un vuelco a la izquierda a la campaña,El Español,2021-04-27,"Ni siquiera la agresividad de Vox sirve para dar un vuelco a la izquierda a la campaña (El Español, 2021-04-27) | "
273,"La amenaza que recibió una candidata de Vox el mismo día que Pablo Iglesias : “ Nazi , te vamos a reventar ” ",La Razón,2021-04-27,"La amenaza que recibió una candidata de Vox el mismo día que Pablo Iglesias : “ Nazi , te vamos a reventar ”  (La Razón, 2021-04-27) | "
274,Rocío Monasterio carga contra Reyes Maroto : “ Ha sido tremendamente imprudente al atacar a Vox ”,La Razón,2021-04-27,"Rocío Monasterio carga contra Reyes Maroto : “ Ha sido tremendamente imprudente al atacar a Vox ”  (La Razón, 2021-04-27) | "
275,"Abascal : « La violencia no le conviene a Vox , beneficia a la izquierda , por eso la perpetra » ",ABC,2021-04-27,"Abascal : « La violencia no le conviene a Vox , beneficia a la izquierda , por eso la perpetra »  (ABC, 2021-04-27) | "
276,"Pablo Iglesias : "" El fascismo y los discursos del odio son un mecanismo para que no cambien las cosas "" ",eldiario.es,2021-04-27,"Pablo Iglesias : "" El fascismo y los discursos del odio son un mecanismo para que no cambien las cosas ""  (eldiario.es, 2021-04-27) | "
277,La izquierda se divide sobre la conveniencia de explotar las amenazas como munición para el 4 - M,ABC,2021-04-27,"La izquierda se divide sobre la conveniencia de explotar las amenazas como munición para el 4 - M (ABC, 2021-04-27) | "
278,Almeida acusa a la izquierda de « doble rasero » y de « legitimar el ataque » a Vox en Vallecas,ABC,2021-04-27,"Almeida acusa a la izquierda de « doble rasero » y de « legitimar el ataque » a Vox en Vallecas (ABC, 2021-04-27) | "
279,Madrid fulmina a la izquierda,ABC,2021-04-27,"Madrid fulmina a la izquierda (ABC, 2021-04-27) | "
280,Iglesias mete a la Corona en campaña por no condenar la “ violencia fascista ”,La Razón,2021-04-27,"Iglesias mete a la Corona en campaña por no condenar la “ violencia fascista ”  (La Razón, 2021-04-27) | "
281,Ìglesias mete a la Corona en campaña por no condenar la “ violencia fascista ”,La Razón,2021-04-27,"Ìglesias mete a la Corona en campaña por no condenar la “ violencia fascista ”  (La Razón, 2021-04-27) | "
282,"No , no era el fascismo",El Español,2021-04-27,"No , no era el fascismo (El Español, 2021-04-27) | "
283,"Pablo Iglesias afea que la Casa Real "" no haya condenado "" las amenazas de muerte recibidas",El Español,2021-04-27,"Pablo Iglesias afea que la Casa Real "" no haya condenado "" las amenazas de muerte recibidas (El Español, 2021-04-27) | "
